ep:uri,ep:isoLanguage,ep:label,skos:altLabel.hu,skos:altLabel.et,skos:altLabel.fi,skos:altLabel.cs,skos:altLabel.sk,skos:altLabel.lt,skos:altLabel.lv,skos:altLabel.mt,skos:altLabel.en,skos:altLabel.da,skos:altLabel.nl,skos:altLabel.sv,skos:altLabel.hr,skos:altLabel.sl,skos:altLabel.pl,skos:altLabel.de,skos:altLabel.ro,skos:altLabel.it,skos:altLabel.pt,skos:altLabel.es,skos:altLabel.fr,skos:altLabel.ga,skos:altLabel.el,skos:altLabel.bg,skos:prefLabel.hu,skos:prefLabel.et,skos:prefLabel.fi,skos:prefLabel.cs,skos:prefLabel.sk,skos:prefLabel.lt,skos:prefLabel.lv,skos:prefLabel.mt,skos:prefLabel.en,skos:prefLabel.da,skos:prefLabel.nl,skos:prefLabel.sv,skos:prefLabel.hr,skos:prefLabel.sl,skos:prefLabel.pl,skos:prefLabel.de,skos:prefLabel.ro,skos:prefLabel.it,skos:prefLabel.pt,skos:prefLabel.es,skos:prefLabel.fr,skos:prefLabel.ga,skos:prefLabel.el,skos:prefLabel.bg
ep:Civility_HRA,FI, ,"","", ,"","","","","","","","","","","","","","","","","","","","","","","", ,"","","","","","","","","","","","","","","","","","","","",""
ep:Civility_NTI,FI, ,"","", ,"","","","","","","","","","","","","","","","","","","","","","","", ,"","","","","","","","","","","","","","","","","","","","",""
ep:Civility_RVA,FI, ,"","", ,"","","","","","","","","","","","","","","","","","","","","","","", ,"","","","","","","","","","","","","","","","","","","","",""
ep:Civility_UR,HU, , ,"","","","","","","","","","","","","","","","","","","","","","","", ,"","","","","","","","","","","","","","","","","","","","","","",""
ep:Civility_URHOLGY,HU, , ,"","","","","","","","","","","","","","","","","","","","","","","", ,"","","","","","","","","","","","","","","","","","","","","","",""
ep:Civility_PAN ,PL, ,"","","","","","","","","","","","","","", ,"","","","","","","","","","","","","","","","","","","","","","","", ,"","","","","","","","",""
ep:Civility_PANI ,PL, ,"","","","","","","","","","","","","","", ,"","","","","","","","","","","","","","","","","","","","","","","", ,"","","","","","","","",""
ep:Civility_KUNGS,LV, ,"","","","","","", ,"","","","","","","","","","","","","","","","","","","","","","","", ,"","","","","","","","","","","","","","","","",""
ep:Civility_KUNDZE,LV, ,"","","","","","", ,"","","","","","","","","","","","","","","","","","","","","","","", ,"","","","","","","","","","","","","","","","",""
ep:Civility_AVV.,IT,Avv.,"","","","","","","","","","","","","","","","","",Avvocato,"","","","","","","","","","","","","","","","","","","","","","","",Avv.,"","","","","",""
ep:Civility_BAR.,FR,Bar.,"","","","","","","","","","","","","","","","","","","","",Baron,"","","","","","","","","","","","","","","","","","","","","","","",Bar.,"","",""
ep:Civility_BARS.,EN,Baroness,"","","","","","","","",Baroness,"","","","","","","","","","","","","","","","","","","","","","","",Baroness,"","","","","","","","","","","","","","",""
ep:Civility_OMRI,IT,Cavaliere della Rep. – Commendatore della Rep.,"","","","","","","","","","","","","","","","","",Cavaliere della Rep. – Commendatore della Rep.,"","","","","","","","","","","","","","","","","","","","","","","",Cavaliere della Rep. – Commendatore della Rep.,"","","","","",""
ep:Civility_DAME,EN,Dame,"","","","","","","","",Dame,"","","","","","","","","","","","","","","","","","","","","","","",Dame,"","","","","","","","","","","","","","",""
ep:Civility_DE HEER,NL,De Heer,"","","","","","","","","","",De Heer,"","","","","","","","","","","","","","","","","","","","","","","",De Heer,"","","","","","","","","","","","",""
ep:Civility_DI,RO,Dl.,"","","","","","","","","","","","","","","","",Dl.,"","","","","","","","","","","","","","","","","","","","","","","",Dl.,"","","","","","",""
ep:Civility_D-NA,RO,Dna,"","","","","","","","","","","","","","","","",Doamnei,"","","","","","","","","","","","","","","","","","","","","","","",Dna,"","","","","","",""
ep:Civility_DONA,ES,Dona,"","","","","","","","","","","","","","","","","","","",Dona,"","","","","","","","","","","","","","","","","","","","","","","",Dona,"","","",""
ep:Civility_DOTT.,IT,Dott.,"","","","","","","","","","","","","","","","","",Dottore,"","","","","","","","","","","","","","","","","","","","","","","",Dott.,"","","","","",""
ep:Civility_DR.,DE,Dr.,"","","","","","","","","","","","","","","",Doktor,"","","","","","","","","","","","","","","","","","","","","","","",Dr.,"","","","","","","",""
ep:Civility_DR,EN,Dr.,"","","","","","","","",Doctor,"","","","","","","","","","","","","","","","","","","","","","","",Dr.,"","","","","","","","","","","","","","",""
ep:Civility_DR.PROF.,DE,Dr.Prof.,"","","","","","","","","","","","","","","",Doktor Professor,"","","","","","","","","","","","","","","","","","","","","","","",Dr.Prof.,"","","","","","","",""
ep:Civility_DR.SA,IT,Dr.sa,"","","","","","","","","","","","","","","","","",Dottoressa,"","","","","","","","","","","","","","","","","","","","","","","",Dr.sa,"","","","","",""
ep:Civility_ESQ.,EN,Esq.,"","","","","","","","",Esquire,"","","","","","","","","","","","","","","","","","","","","","","",Esq.,"","","","","","","","","","","","","","",""
ep:Civility_FR.,DE,Frau,"","","","","","","","","","","","","","","",Frau,"","","","","","","","","","","","","","","","","","","","","","","",Frau,"","","","","","","",""
ep:Civility_FRK.,SV,Frk.,"","","","","","","","","","","",Fröken,"","","","","","","","","","","","","","","","","","","","","","","",Frk.,"","","","","","","","","","","",""
ep:Civility_FRL.,DE,Frl.,"","","","","","","","","","","","","","","",Fräulein,"","","","","","","","","","","","","","","","","","","","","","","",Frl.,"","","","","","","",""
ep:Civility_FRL.DR.,DE,Frl.Dr.,"","","","","","","","","","","","","","","",Fraulein Doktor,"","","","","","","","","","","","","","","","","","","","","","","",Frl.Dr.,"","","","","","","",""
ep:Civility_FR,DA,Fru,"","","","","","","","","",Fru/Froeken,"","","","","","","","","","","","","","","","","","","","","","","",Fru,"","","","","","","","","","","","","",""
