ep:MEP.ep:familyName,ep:MEP.ep:firstName,ep:MEP.ep:persId,ep:MEP.ep:uri,ep:Civility.ep:uri,ep:Gender.ep:uri,ep:Status.ep:uri,ep:hasBirthCountry.ep:uri,ep:hasPoliticalGroup.ep:uri
Adamowicz,Magdalena,197490,ep:MEP_197490,ep:Civility_DR,ep:Gender_F,ep:Status_ACTIVE,ep:Country_PL,ep:Body_GP-PPE-5153
Ademov,Asim,189525,ep:MEP_189525,ep:Civility_GN,ep:Gender_M,ep:Status_ACTIVE,ep:Country_BG,ep:Body_GP-PPE-5153
Adinolfi,Isabella,124831,ep:MEP_124831,ep:Civility_ON.LE,ep:Gender_F,ep:Status_ACTIVE,ep:Country_IT,ep:Body_GP-NI-5152
Adinolfi,Matteo,197826,ep:MEP_197826,null,ep:Gender_M,ep:Status_ACTIVE,ep:Country_IT,ep:Body_GP-ID-5588
Agius Saliba,Alex,197403,ep:MEP_197403,ep:Civility_IS-SUR,ep:Gender_M,ep:Status_ACTIVE,ep:Country_MT,ep:Body_GP-S&D-5154
Aguilar,Mazaly,198096,ep:MEP_198096,null,ep:Gender_F,ep:Status_ACTIVE,ep:Country_ES,ep:Body_GP-ECR-5148
Aguilera,Clara,125045,ep:MEP_125045,ep:Civility_SRA.,ep:Gender_F,ep:Status_ACTIVE,ep:Country_ES,ep:Body_GP-S&D-5154
Al-Sahlani,Abir,197400,ep:MEP_197400,ep:Civility_FRU,ep:Gender_F,ep:Status_ACTIVE,ep:Country_IQ,ep:Body_GP-Renew-5704
Alametsä,Alviina,204335,ep:MEP_204335,null,ep:Gender_F,ep:Status_ACTIVE,null,ep:Body_GP-Verts/ALE-5155
Alexandrov Yordanov,Alexander,197836,ep:MEP_197836,null,ep:Gender_M,ep:Status_ACTIVE,ep:Country_BG,ep:Body_GP-PPE-5153
Alfonsi,François,96750,ep:MEP_96750,ep:Civility_M.,ep:Gender_M,ep:Status_ACTIVE,ep:Country_FR,ep:Body_GP-Verts/ALE-5155
Alieva-Veli,Atidzhe,197848,ep:MEP_197848,null,ep:Gender_F,ep:Status_ACTIVE,ep:Country_BG,ep:Body_GP-Renew-5704
Amaro,Álvaro,197746,ep:MEP_197746,null,ep:Gender_M,ep:Status_ACTIVE,ep:Country_PT,ep:Body_GP-PPE-5153
Ameriks,Andris,197783,ep:MEP_197783,null,ep:Gender_M,ep:Status_ACTIVE,ep:Country_LV,ep:Body_GP-S&D-5154
Anderson,Christine,197475,ep:MEP_197475,ep:Civility_FR.,ep:Gender_F,ep:Status_ACTIVE,null,ep:Body_GP-ID-5588
Andresen,Rasmus,197448,ep:MEP_197448,ep:Civility_HR.,ep:Gender_M,ep:Status_ACTIVE,ep:Country_DE,ep:Body_GP-Verts/ALE-5155
Andrews,Barry,204332,ep:MEP_204332,null,ep:Gender_M,ep:Status_ACTIVE,ep:Country_IE,ep:Body_GP-Renew-5704
Andrieu,Eric,113892,ep:MEP_113892,ep:Civility_M.,ep:Gender_M,ep:Status_ACTIVE,ep:Country_FR,ep:Body_GP-S&D-5154
Androulakis,Nikos,125110,ep:MEP_125110,ep:Civility_KO.,ep:Gender_M,ep:Status_ACTIVE,ep:Country_GR,ep:Body_GP-S&D-5154
Androuët,Mathilde,197691,ep:MEP_197691,null,ep:Gender_F,ep:Status_ACTIVE,ep:Country_FR,ep:Body_GP-ID-5588
Angel,Marc,202073,ep:MEP_202073,null,ep:Gender_M,ep:Status_ACTIVE,ep:Country_LU,ep:Body_GP-S&D-5154
Annemans,Gerolf,124973,ep:MEP_124973,ep:Civility_DE HEER,ep:Gender_M,ep:Status_ACTIVE,ep:Country_BE,ep:Body_GP-ID-5588
Ansip,Andrus,124696,ep:MEP_124696,ep:Civility_HR ,ep:Gender_M,ep:Status_ACTIVE,ep:Country_EE,ep:Body_GP-Renew-5704
Ara-Kovács,Attila,197587,ep:MEP_197587,null,ep:Gender_M,ep:Status_ACTIVE,ep:Country_RO,ep:Body_GP-S&D-5154
Arena,Maria,124936,ep:MEP_124936,ep:Civility_MME,ep:Gender_F,ep:Status_ACTIVE,ep:Country_BE,ep:Body_GP-S&D-5154
Arias Echeverría,Pablo,96808,ep:MEP_96808,ep:Civility_SR.,ep:Gender_M,ep:Status_ACTIVE,ep:Country_ES,ep:Body_GP-PPE-5153
Arimont,Pascal,24922,ep:MEP_24922,ep:Civility_HR.,ep:Gender_M,ep:Status_ACTIVE,ep:Country_BE,ep:Body_GP-PPE-5153
Armand,Clotilde,197664,ep:MEP_197664,ep:Civility_D-NA,ep:Gender_F,ep:Status_ACTIVE,ep:Country_RO,ep:Body_GP-Renew-5704
Arvanitis,Konstantinos,197701,ep:MEP_197701,null,ep:Gender_M,ep:Status_ACTIVE,ep:Country_GR,ep:Body_GP-GUE/NGL-5151
Arłukowicz,Bartosz,197492,ep:MEP_197492,null,ep:Gender_M,ep:Status_ACTIVE,ep:Country_PL,ep:Body_GP-PPE-5153
Asimakopoulou,Anna-Michelle,197695,ep:MEP_197695,null,ep:Gender_F,ep:Status_ACTIVE,ep:Country_US,ep:Body_GP-PPE-5153
Aubry,Manon,197533,ep:MEP_197533,ep:Civility_MME,ep:Gender_F,ep:Status_ACTIVE,ep:Country_FR,ep:Body_GP-GUE/NGL-5151
Auken,Margrete,28161,ep:MEP_28161,ep:Civility_FR,ep:Gender_F,ep:Status_ACTIVE,ep:Country_DK,ep:Body_GP-Verts/ALE-5155
Auštrevičius,Petras,124766,ep:MEP_124766,ep:Civility_PONAS,ep:Gender_M,ep:Status_ACTIVE,ep:Country_LT,ep:Body_GP-Renew-5704
Avram,Carmen,197651,ep:MEP_197651,ep:Civility_D-NA,ep:Gender_F,ep:Status_ACTIVE,ep:Country_RO,ep:Body_GP-S&D-5154
Azmani,Malik,197781,ep:MEP_197781,null,ep:Gender_M,ep:Status_ACTIVE,ep:Country_NL,ep:Body_GP-Renew-5704
Baldassarre,Simona,197789,ep:MEP_197789,null,ep:Gender_F,ep:Status_ACTIVE,ep:Country_IT,ep:Body_GP-ID-5588
Balt,Marek Paweł,197495,ep:MEP_197495,ep:Civility_PAN ,ep:Gender_M,ep:Status_ACTIVE,ep:Country_PL,ep:Body_GP-S&D-5154
Bardella,Jordan,131580,ep:MEP_131580,null,ep:Gender_M,ep:Status_ACTIVE,ep:Country_FR,ep:Body_GP-ID-5588
Barley,Katarina,197433,ep:MEP_197433,ep:Civility_DR.,ep:Gender_F,ep:Status_ACTIVE,ep:Country_DE,ep:Body_GP-S&D-5154
Barrena Arza,Pernando,197684,ep:MEP_197684,null,ep:Gender_M,ep:Status_ACTIVE,ep:Country_ES,ep:Body_GP-GUE/NGL-5151
Bartolo,Pietro,197808,ep:MEP_197808,null,ep:Gender_M,ep:Status_ACTIVE,ep:Country_IT,ep:Body_GP-S&D-5154
Basso,Alessandra,197610,ep:MEP_197610,null,ep:Gender_F,ep:Status_ACTIVE,ep:Country_IT,ep:Body_GP-ID-5588
Bauzá Díaz,José Ramón,197779,ep:MEP_197779,null,ep:Gender_M,ep:Status_ACTIVE,ep:Country_ES,ep:Body_GP-Renew-5704
Bay,Nicolas,124760,ep:MEP_124760,ep:Civility_M.,ep:Gender_M,ep:Status_ACTIVE,ep:Country_FR,ep:Body_GP-ID-5588
Beck,Gunnar,132191,ep:MEP_132191,ep:Civility_HR.,ep:Gender_M,ep:Status_ACTIVE,ep:Country_DE,ep:Body_GP-ID-5588
Beer,Nicola,197437,ep:MEP_197437,null,ep:Gender_F,ep:Status_ACTIVE,ep:Country_DE,ep:Body_GP-Renew-5704
Beghin,Tiziana,124777,ep:MEP_124777,ep:Civility_ON.LE,ep:Gender_F,ep:Status_ACTIVE,ep:Country_IT,ep:Body_GP-NI-5152
Beigneux,Aurelia,197680,ep:MEP_197680,null,ep:Gender_F,ep:Status_ACTIVE,ep:Country_FR,ep:Body_GP-ID-5588
Belka,Marek,197496,ep:MEP_197496,ep:Civility_PAN ,ep:Gender_M,ep:Status_ACTIVE,ep:Country_PL,ep:Body_GP-S&D-5154
Bellamy,François-Xavier,197534,ep:MEP_197534,ep:Civility_M.,ep:Gender_M,ep:Status_ACTIVE,ep:Country_FR,ep:Body_GP-PPE-5153
Benea,Adrian-Dragoş,197658,ep:MEP_197658,ep:Civility_DI,ep:Gender_M,ep:Status_ACTIVE,ep:Country_RO,ep:Body_GP-S&D-5154
Benifei,Brando,124867,ep:MEP_124867,ep:Civility_ON.LE,ep:Gender_M,ep:Status_ACTIVE,ep:Country_IT,ep:Body_GP-S&D-5154
Benjumea Benjumea,Isabel,197679,ep:MEP_197679,null,ep:Gender_F,ep:Status_ACTIVE,ep:Country_ES,ep:Body_GP-PPE-5153
Bentele,Hildegard,197408,ep:MEP_197408,ep:Civility_FR.,ep:Gender_F,ep:Status_ACTIVE,ep:Country_DE,ep:Body_GP-PPE-5153
Berendsen,Tom,197778,ep:MEP_197778,null,ep:Gender_M,ep:Status_ACTIVE,ep:Country_NL,ep:Body_GP-PPE-5153
Berg,Lars Patrick,197478,ep:MEP_197478,ep:Civility_HR.,ep:Gender_M,ep:Status_ACTIVE,ep:Country_DE,ep:Body_GP-ID-5588
Berger,Stefan,197410,ep:MEP_197410,ep:Civility_DR.,ep:Gender_M,ep:Status_ACTIVE,ep:Country_DE,ep:Body_GP-PPE-5153
Bergkvist,Erik,197396,ep:MEP_197396,null,ep:Gender_M,ep:Status_ACTIVE,ep:Country_SE,ep:Body_GP-S&D-5154
Berlato,Sergio,4746,ep:MEP_4746,ep:Civility_ON.LE,ep:Gender_M,ep:Status_ACTIVE,ep:Country_IT,ep:Body_GP-ECR-5148
Berlusconi,Silvio,4391,ep:MEP_4391,ep:Civility_ON.LE,ep:Gender_M,ep:Status_ACTIVE,ep:Country_IT,ep:Body_GP-PPE-5153
Bernhuber,Alexander,197648,ep:MEP_197648,ep:Civility_HR.,ep:Gender_M,ep:Status_ACTIVE,ep:Country_AT,ep:Body_GP-PPE-5153
