"MEMB_MEP_ID","PERS_ID","PERC_RICH_FAMILY_NAME","PERC_RICH_FIRST_NAME","MEMB_EU_COUN_UID"
3734,1,"Jarzembowski","Georg",131
3735,2,"Lafuente López","José María",233
3730,3,"Kuhn","Annemarie",263
3727,4,"Westerterp","Th.E.",131
3729,6,"de Wilde","J.",131
3731,7,"Barrera i Costa","Heribert",233
3732,8,"Mantovani","Agostino",213
3733,9,"Köhler","Herbert W.",263
3724,10,"Vredeling","Hendrikus",131
3725,11,"Waltmans","Hendrik J.G.",131
3709,13,"Zotta","Mario",213
3710,14,"Vernaschi","Vincenzo",213
3711,15,"Vetrone","Mario",213
3713,16,"van der Stoel","Max",131
3702,17,"Turani","Daniele",213
3703,18,"Troisi","Michele",213
3707,20,"Zaccari","Raul",213
3708,21,"Ziino","Vinicio",213
3694,22,"Tartufoli","Amor",213
3695,23,"Togni","Giuseppe",213
3696,24,"Tolloy","Giusto",213
3697,25,"Simonini","Alberto",213
3688,27,"Storti","Bruno",213
3691,28,"Terragni","Attilio",213
3683,29,"Schiratti","Guglielmo",213
3684,30,"Scoccimarro","Mauro",213
3685,31,"Schiavi","Alessandro",213
3681,33,"Scelba","Mario",213
3619,34,"Strobel","Käte",263
3623,35,"Langenhagen","Brigitte",263
3672,36,"Vanrullen","Emile",60
3674,37,"Vals","Francis",60
3676,38,"Vendroux","Jacques",60
3653,41,"Triboulet","Raymond",60
3650,42,"Terrenoire","Louis",60
3644,43,"Terrenoire","Alain",60
3646,44,"Tomasini","René",60
3629,45,"Zywietz","Werner",263
3625,48,"Wischnewski","Hans-Jürgen",263
3627,50,"Würtz","Peter",263
3628,51,"Zeyer","Werner",263
3607,54,"Schuijt","Willem J.",131
3608,55,"Walston","THE LORD",62
3611,57,"Walkhoff","Karl-Heinz",263
3599,58,"Sassen","E.M.J.A.",131
3589,61,"Scarascia Mugnozza","Carlo",213
3590,62,"van der Sanden","Pieter J.A.",131
3582,63,"Samaritani","Agide",213
3580,66,"Spénale","Georges",60
3581,67,"Sacco","Italo Mario",213
3564,68,"Teisseire","Léon",60
3556,72,"Starke","Heinz",263
3545,73,"Sträter","Heinrich",263
3549,75,"Storch","Anton",263
3533,77,"Shaw","Michael Norman",62
3534,78,"Stewart","Michael R.",62
3535,79,"Taverne","Dick",62
3536,80,"Tomney","Frank",62
3531,83,"Sabatini","Armando",213
3522,84,"Sourdille","Jacques",60
3523,85,"Soury","André",60
3525,86,"Roselli","Enrico",213
3514,88,"Seuffert","Walter",263
3515,89,"Savary","Alain",60
3518,90,"Schuman","Robert",60
3519,91,"Singer","Franz",60
3508,92,"Spillecke","Hermann",263
3510,93,"Schwörer","Hermann",263
3512,94,"Schwabe","Wolfgang",263
3497,96,"Rip","W.",131
3498,97,"Prescott","John Leslie",62
3499,98,"Price","Christopher",62
3501,99,"Rippon","Geoffrey",62
3488,100,"Rutgers","J.C.",131
3491,101,"Posthumus","Sijbrandus A.",131
3482,103,"Romeo","Nicola",213
3483,104,"Rosati","Luigi C.",213
3485,105,"Pronk","Jan P.",131
3486,106,"Raedts","C.E.P.M.",131
3477,107,"de Saivre","Roger",60
3478,108,"Salado","Xavier",60
3480,110,"Riz","Roland",213
3469,111,"Reynaud","Paul",60
3471,112,"Ribière","René",60
3472,113,"Rochereau","Henri",60
3464,114,"Schöne","Joachim",263
3465,115,"Schulz","Klaus-Peter",263
3456,116,"Schmidt","Helmut",263
3459,118,"Schmidt","Martin",263
3451,119,"Poher","Alain",60
3452,120,"Restagno","Pietro C.",213
3453,121,"Ricci","Cristoforo",213
3447,122,"Restat","Etienne",60
3431,123,"Ramizason","Julien",60
3427,125,"Scheel","Walter",263
3429,126,"Porcu","Antoine",60
3430,127,"Raingeard","Michel",60
3420,129,"Sabass","Wilmar",263
3415,134,"Osborn","John Holbrook",62
3416,135,"Peel","John",62
3405,136,"Patijn","Schelto",131
3410,138,"Mansfield","THE EARL",62
3402,139,"Oele","Adriaan Peter",131
3398,140,"Nederhorst","G.M.",131
3390,142,"van der Mei","Durk F.",131
3364,145,"Offroy","Raymond",60
3367,146,"Pinay","Antoine",60
3328,147,"Probst","Maria",263
3362,150,"Riedel","Clemens",263
3352,151,"Yeats","Michael B.",238
3353,152,"Perrier","Stefano",213
3356,153,"Piccioni","Attilio",213
3345,155,"Johnston","Russell",62
3346,156,"Kennet","THE LORD",62
3347,157,"Kirk","Peter M.",62
3351,160,"Lichtenauer","W.F.",131
3339,161,"Naveau","Charles",60
3342,162,"Parri","Ferruccio",213
3344,163,"Pella","Giuseppe",213
3333,165,"Reischl","Gerhard",263
3336,166,"Rohde","Hellmut",263
3323,167,"Preusker","Victor Emanuel",263
3325,169,"Pohle","Wolfgang",263
3330,170,"Pünder","Hermann",263
3321,171,"Philipp","Gerhard",263
3313,172,"Wigny","Pierre L.J.J.",16
3303,173,"Lamberts","Johannes H.",131
3307,175,"Warnant","Pierre",16
3297,176,"Kapteyn","Paul J.",131
3300,177,"Korthals","H.A.",131
3292,178,"Klompé","Marga A.M.",131
3293,179,"de Koning","Jan",131
3280,180,"Schaus","Eugène",108
3271,182,"Premoli","Augusto",213
3272,183,"Preti","Luigi",213
3273,184,"Pucci","Ernesto",213
3274,185,"Schaus","Emile",108
3265,186,"Persico","Giovanni",213
3267,187,"Pintus","Mariano",213
3269,189,"Plebe","Armando",213
3258,190,"Thornley","David Andrew",238
3260,191,"Noe'","Luigi",213
3263,192,"Penazzato","Dino",213
3252,193,"Muller","Emile",60
3256,195,"Mutter","André",60
3246,197,"Motte","Bertrand",60
3242,198,"Mollet","Guy",60
3219,199,"Orth","Elisabeth",263
3234,200,"Maroger","Jean",60
3235,201,"Medecin","Jean",60
3222,203,"Oesterle","Josef",263
3214,204,"Thomsen","Knud",232
3205,206,"Van Offelen","Jacques L.G.",16
3209,207,"Vermeylen","Pierre F.",16
3200,209,"Hamilton","William Winter",62
