uri,isoLanguage,label,preferred_label_hu,preferred_label_et,preferred_label_fi,preferred_label_cs,preferred_label_sk,preferred_label_lt,preferred_label_lv,preferred_label_mt,preferred_label_en,preferred_label_da,preferred_label_nl,preferred_label_sv,preferred_label_hr,preferred_label_sl,preferred_label_pl,preferred_label_de,preferred_label_ro,preferred_label_it,preferred_label_pt,preferred_label_es,preferred_label_fr,preferred_label_ga,preferred_label_el,preferred_label_bg,synonym_hu,synonym_et,synonym_fi,synonym_cs,synonym_sk,synonym_lt,synonym_lv,synonym_mt,synonym_en,synonym_da,synonym_nl,synonym_sv,synonym_hr,synonym_sl,synonym_pl,synonym_de,synonym_ro,synonym_it,synonym_pt,synonym_es,synonym_fr,synonym_ga,synonym_el,synonym_bg
http://data.europarl.europa.eu/authority/civility/HRA,fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/NTI,fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/RVA,fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/UR,hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/URHOLGY,hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/KUNDZE,lv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/KUNGS,lv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/AVV.,it,Avv.,,,,,,,,,,,,,,,,,,Avv.,,,,,,,,,,,,,,,,,,,,,,,,Avvocato,,,,,,
http://data.europarl.europa.eu/authority/civility/BAR.,fr,Bar.,,,,,,,,,,,,,,,,,,,,,Bar.,,,,,,,,,,,,,,,,,,,,,,,,Baron,,,
http://data.europarl.europa.eu/authority/civility/BARS.,en,Baroness,,,,,,,,,Baroness,,,,,,,,,,,,,,,,,,,,,,,,Baroness,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/OMRI,it,Cavaliere della Rep. – Commendatore della Rep.,,,,,,,,,,,,,,,,,,Cavaliere della Rep. – Commendatore della Rep.,,,,,,,,,,,,,,,,,,,,,,,,Cavaliere della Rep. – Commendatore della Rep.,,,,,,
http://data.europarl.europa.eu/authority/civility/DAME,en,Dame,,,,,,,,,Dame,,,,,,,,,,,,,,,,,,,,,,,,Dame,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/DE%20HEER,nl,De Heer,,,,,,,,,,,De Heer,,,,,,,,,,,,,,,,,,,,,,,,De Heer,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/DI,ro,Dl.,,,,,,,,,,,,,,,,,Dl.,,,,,,,,,,,,,,,,,,,,,,,,Dl.,,,,,,,
http://data.europarl.europa.eu/authority/civility/D-NA,ro,Dna,,,,,,,,,,,,,,,,,Dna,,,,,,,,,,,,,,,,,,,,,,,,Doamnei,,,,,,,
http://data.europarl.europa.eu/authority/civility/DONA,es,Dona,,,,,,,,,,,,,,,,,,,,Dona,,,,,,,,,,,,,,,,,,,,,,,,Dona,,,,
http://data.europarl.europa.eu/authority/civility/DOTT.,it,Dott.,,,,,,,,,,,,,,,,,,Dott.,,,,,,,,,,,,,,,,,,,,,,,,Dottore,,,,,,
http://data.europarl.europa.eu/authority/civility/DR.,de,Dr.,,,,,,,,,,,,,,,,Dr.,,,,,,,,,,,,,,,,,,,,,,,,Doktor,,,,,,,,
http://data.europarl.europa.eu/authority/civility/DR,en,Dr.,,,,,,,,,Dr.,,,,,,,,,,,,,,,,,,,,,,,,Doctor,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/DR.PROF.,de,Dr.Prof.,,,,,,,,,,,,,,,,Dr.Prof.,,,,,,,,,,,,,,,,,,,,,,,,Doktor Professor,,,,,,,,
http://data.europarl.europa.eu/authority/civility/DR.SA,it,Dr.sa,,,,,,,,,,,,,,,,,,Dr.sa,,,,,,,,,,,,,,,,,,,,,,,,Dottoressa,,,,,,
http://data.europarl.europa.eu/authority/civility/ESQ.,en,Esq.,,,,,,,,,Esq.,,,,,,,,,,,,,,,,,,,,,,,,Esquire,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/FR.,de,Frau,,,,,,,,,,,,,,,,Frau,,,,,,,,,,,,,,,,,,,,,,,,Frau,,,,,,,,
http://data.europarl.europa.eu/authority/civility/FRK.,sv,Frk.,,,,,,,,,,,,Frk.,,,,,,,,,,,,,,,,,,,,,,,,Fröken,,,,,,,,,,,,
