uri,activatedDate,startDate,endDate,orderNumber,notation,label,preferred_label_hu,preferred_label_et,preferred_label_fi,preferred_label_cs,preferred_label_sk,preferred_label_lt,preferred_label_lv,preferred_label_mt,preferred_label_en,preferred_label_da,preferred_label_nl,preferred_label_sv,preferred_label_hr,preferred_label_sl,preferred_label_pl,preferred_label_de,preferred_label_ro,preferred_label_it,preferred_label_pt,preferred_label_es,preferred_label_fr,preferred_label_ga,preferred_label_el,preferred_label_bg
http://data.europarl.europa.eu/org/group/CD-497,1953-06-22,1953-06-22,1978-03-12,947,CD,Christian-Democratic Group,Kereszténydemokraták Csoportja,Kristlik-demokraatide fraktsioon,Kristillis-demokraattinen puolueryhmä,Skupina křesťanské demokracie,Skupina krestanských demokratov,Krikšcioniu demokratu grupe,Kristigo demokratu grupa,Grupp Demokratici-Kristjani,Christian-Democratic Group,Den kristelig-demokratiske gruppe,Christen-democratische Fractie,Kristdemokratiska gruppen,Kršćansko-demokratski klub zastupnika,Skupina krščanskih demokratov,Grupa Chrzescijanskiej Demokracji,Christlich-demokratische Fraktion,Grupul Creștin-Democrat,Gruppo democratico cristiano,Grupo Democrata-Cristão,Grupo Cristianodemócrata,Groupe démocrate-chrétien,Grúpa na nDaonlathaithe Críostaí,Χριστιαvoδημoκρατική Ομάδα,Група на християндемократите
http://data.europarl.europa.eu/org/group/CD-1050,1978-03-13,1978-03-13,1979-07-15,949,CD,Christian-Democratic Group (Group of the European People's Party),Kereszténydemokrata Csoport (az Európai Néppártok Csoportja),Kristlik-demokraatide fraktsioon (Euroopa rahvapartei fraktsioon),,Skupina křesťanské demokracie (Skupina Evropské lidové strany),Krestansko-demokratická skupina (Skupina Európska ludová strana),Krikšcioniu demokratu grupe (Europos liaudies partijos grupe),Kristigo demokratu grupa (Eiropas Tautas Partijas grupa),Grupp Demokratiku-Kristjan (Grupp tal-Partit Popolari Ewropew),Christian-Democratic Group (Group of the European People's Party),Den kristelig-demokratiske gruppe (det europæiske folkepartis gruppe),Christen-democratische Fractie (Fractie van de Europese Volkspartij),,Kršćansko-demokratski klub zastupnika (Klub zastupnika Europske pučke stranke),Krščansko–demokratska skupina (skupina Evropske ljudske stranke),Grupa Chrzescijansko-Demokratyczna (Grupa Europejskiej Partii Ludowej),Christlich-demokratische Fraktion (Fraktion der Europaïschen Volkspartei),Grupul Creștin-Democrat (Grupul Partidului Popular),Gruppo democratico cristiano (Gruppo del partito popolare europeo),,,Groupe démocrate-chrétien (Groupe du parti populaire européen),Grúpa na nDaonlathaithe Críostaí (Grúpa Pháirtí an Phobail Eorpaigh),,Група на християндемократите (Група на Европейската народна партия)
http://data.europarl.europa.eu/org/group/COM-487,1979-07-16,1979-07-16,1989-07-23,952,COM,Communist and Allies Group,Kommunisták és Szövetségeseik Csoportja,Kommunistide ja liitlaste fraktsioon,Kommunisti- ja vasemmistopuolueiden ryhmä,Skupina komunistů a spojenců,Skupina komunistov a spojencov,Komunistu ir sajungininku grupe,Komunistu un sabiedroto grupa,Gruppi Komunisti u Alleati,Communist and Allies Group,Gruppen af Kommunister og Beslægtede,Communistische Fractie en geestverwanten,Gruppen kommunister och deras samarbetspartner,Klub zastupnika komunista i saveznika,Skupina Komunisti in zavezniki,Grupa Komunistów i Sojuszników,Fraktion der Kommunisten und Nahestehenden,Grupul comuniștilor și al afiliaților,Gruppo comunista e apparentanti,Grupo Comunista e Afins,Grupo de Comunistas y afines,Groupe communiste et apparentés,An Grúpa Cumannach agus Comhghuaillithe,Κομμουνιστική ομάδα και Προσκείμενοι,Група на комунистите и съмишлениците
http://data.europarl.europa.eu/org/group/COM-503,1973-10-15,1973-10-15,1979-07-15,982,COM,"Communist and Allies Group (SF, Ind. Sin.)","Kommunisták és Szövetségeseik Csoportja SF, Ind. Sin.)","Kommunistide ja liitlaste fraktsioon (SF, Ind. Sin.)",Kommunisti- ja vasemmistopuolueiden ryhmä,"Skupina komunisté a přidružení (SF, nez. Sin.)","Skupina komunistov a spojencov (SF, Ind. Sin.)","Komunistu ir sajungininku grupe (SF, nepr. Sin.)","Komunistu un sabiedroto grupa (SF, Ind. Sin.)","Komunisti u Allejati (SF, Ind. Sin)","Communist and Allies Group (SF, Ind. Sin.)","Gruppen af kommunister og beslægtede (SF, Ind. Sin.)","Communistische Fractie en geestverwanten (SF, Ind. Sin.)","Gruppen kommunister och deras samarbetspartner (SF, Ind. Sin.)","Klub zastupnika komunista i saveznika (SF, Ind. Sin.)","Skupina komunistov in zaveznikov (SF, neodv. levica)","Grupa Komunistów i Sojuszników (SF, Ind. Sin.)","Fraktion der Kommunisten und Nahestehenden (SF, Ind. Sin.)","Grupul comuniștilor și al afiliaților (SF, Ind.Sin)","Gruppo comunista e apparentati (SF, Ind. Sin.)","Grupo Comunista e Afins (SF, Ind. Sin.)",Grupo de Comunistas y afines,"Groupe communiste et apparentés (SF, Ind. Sin.)","An Grúpa Cumannach agus Comhghuaillithe (SF, Ind. Sin.)","Ομάδα Κoμμoυvιστώv και Πρoσκειμέvωv (SF, Ind. Sin.)","Група на комунистите и съмишлениците (SF, Ind. Sin.)"
http://data.europarl.europa.eu/org/group/GUE-510,1994-07-18,1994-07-18,1995-01-04,969,GUE,Confederal Group of the European United Left,Az Európai Baloldali Unió Konföderális Csoportja,Euroopa ühendatud vasakpoolsete liitfraktsioon,Euroopan yhtyneen vasemmiston konfederaatioryhmä,Konfederace Evropské sjednocené levice,Konfederatívna skupina Európska zjednotená lavica,Europos jungtiniu kairiuju konfederacine grupe,Eiropas Kreiso apvienibas konfederala grupa,Grupp Konfederali tax-Xellug Ewropew Maghqud,Confederal Group of the European United Left,Den Europæiske Venstrefløjs Fællesgruppe,Confederale Fractie Europees Unitair Links,Gruppen Europeiska enade vänstern,Konfederalni klub zastupnika Ujedinjene europske ljevice,Konfederativna skupina Združene evropske levice,Konfederacja Zjednoczonej Lewicy Europejskiej,Konföderale Fraktion der Europäischen Unitaristischen Linken,Grupul Confederal al Stângii Unite Europene,Gruppo confederale della Sinistra unitaria europea,Grupo Confederal da Esquerda Unitária Europeia,Grupo Confederal de la Izquierda Unitaria Europea,Groupe confédéral de la Gauche unitaire européenne,An Grúpa Cónasctha den Chlé Aontaithe Eorpach,Συνομοσπονδιακή Ομάδα της Ευρωπαϊκής Ενωτικής Αριστεράς,Конфедеративна група на Европейската обединена левица
http://data.europarl.europa.eu/org/group/GUE/NGL-1537,2004-07-19,2004-07-19,2009-07-12,95999,GUE/NGL,Confederal Group of the European United Left - Nordic Green Left,az Egységes Európai Baloldal/az Északi Zöld Baloldal Képviselőcsoportja,Euroopa Ühendatud Vasakpoolsete / Põhjamaade Roheliste Vasakpoolsete liitfraktsioon,Euroopan yhtyneen vasemmiston konfederaatioryhmä/Pohjoismaiden vihreä vasemmisto,Skupina konfederace Evropské sjednocené levice a Severské zelené levice,Konfederatívna skupina Európskej zjednotenej ľavice - Nordická zelená ľavica,Europos vieningųjų kairiųjų jungtinė frakcija/Šiaurės šalių žalieji kairieji,Eiropas Apvienotā kreiso un Ziemeļvalstu Zaļo kreiso spēku konfederālā grupa,Grupp Konfederali tax-Xellug Magħqud Ewropew - Xellug Aħdar Nordiku,Confederal Group of the European United Left - Nordic Green Left,Den Europæiske Venstrefløjs Fællesgruppe/Nordisk Grønne Venstre,Confederale Fractie Europees Unitair Links/Noords Groen Links,Gruppen Europeiska enade vänstern/Nordisk grön vänster,Konfederalni klub zastupnika Ujedinjene europske ljevice i Nordijske zelene ljevice,Konfederalna skupina Evropske združene levice - Zelene nordijske levice,Konfederacyjna Grupa Zjednoczonej Lewicy Europejskiej / Nordycka Zielona Lewica,Konföderale Fraktion der Vereinigten Europäischen Linken/Nordische Grüne Linke,Grupul Confederal al Stângii Unite Europene/Stânga Verde Nordică,Gruppo confederale della Sinistra unitaria europea/Sinistra verde nordica,Grupo Confederal da Esquerda Unitária Europeia/Esquerda Nórdica Verde,Grupo Confederal de la Izquierda Unitaria Europea/Izquierda Verde Nórdica,Groupe confédéral de la Gauche unitaire européenne/Gauche verte nordique,Grúpa Cónasctha den Chlé Aontaithe Eorpach - den Chlé Ghlas Nordach,Συνομοσπονδιακή Ομάδα της Ευρωπαϊκής Ενωτικής Αριστεράς/Αριστερά των Πρασίνων των Βορείων Χωρών,Конфедеративна група на Европейската обединена левица - Северна зелена левица
http://data.europarl.europa.eu/org/group/GUE/NGL-2954,2009-07-13,2009-07-13,2014-06-29,96499,GUE/NGL,Confederal Group of the European United Left - Nordic Green Left,az Egységes Európai Baloldal/Északi Zöld Baloldal képviselőcsoport,Euroopa Ühendatud Vasakpoolsete / Põhjamaade Roheliste Vasakpoolsete liitfraktsioon,Euroopan yhtyneen vasemmiston konfederaatioryhmä/Pohjoismaiden vihreä vasemmisto,Skupina konfederace Evropské sjednocené levice a Severské zelené levice,Konfederatívna skupina Európskej zjednotenej ľavice - Severskej zelenej ľavice,Europos vieningųjų kairiųjų jungtinė frakcija/Šiaurės šalių žalieji kairieji,Eiropas Apvienotā kreiso un Ziemeļvalstu Zaļo kreiso spēku konfederālā grupa,Grupp Konfederali tax-Xellug Magħqud Ewropew - Xellug Aħdar Nordiku,Confederal Group of the European United Left - Nordic Green Left,Den Europæiske Venstrefløjs Fællesgruppe/Nordisk Grønne Venstre,Confederale Fractie Europees Unitair Links/Noords Groen Links,Gruppen Europeiska enade vänstern/Nordisk grön vänster,Konfederalni klub zastupnika Ujedinjene europske ljevice i Nordijske zelene ljevice,Konfederalna skupina Evropske združene levice - Zelene nordijske levice,Konfederacyjna Grupa Zjednoczonej Lewicy Europejskiej / Nordycka Zielona Lewica,Konföderale Fraktion der Vereinigten Europäischen Linken/Nordische Grüne Linke,Grupul Confederal al Stângii Unite Europene/Stânga Verde Nordică,Gruppo confederale della Sinistra unitaria europea/Sinistra verde nordica,Grupo Confederal da Esquerda Unitária Europeia/Esquerda Nórdica Verde,Grupo Confederal de la Izquierda Unitaria Europea/Izquierda Verde Nórdica,Groupe confédéral de la Gauche unitaire européenne/Gauche verte nordique,Grúpa Cónasctha den Chlé Aontaithe Eorpach - den Chlé Ghlas Nordach,Συνομοσπονδιακή Ομάδα της Ευρωπαϊκής Ενωτικής Αριστεράς/Αριστερά των Πρασίνων των Βορείων Χωρών,Конфедеративна група на Европейската обединена левица - Северна зелена левица
http://data.europarl.europa.eu/org/group/GUE/NGL-4281,2014-06-30,2014-06-30,2019-06-30,94799,GUE/NGL,Confederal Group of the European United Left - Nordic Green Left,Egységes Európai Baloldal/Északi Zöld Baloldal képviselőcsoport,Euroopa Ühendatud Vasakpoolsete / Põhjamaade Roheliste Vasakpoolsete liitfraktsioon,Euroopan yhtyneen vasemmiston konfederaatioryhmä/Pohjoismaiden vihreä vasemmisto,Skupina konfederace Evropské sjednocené levice a Severské zelené levice,Konfederatívna skupina Európskej zjednotenej ľavice - Severskej zelenej ľavice,Europos vieningųjų kairiųjų jungtinė frakcija/Šiaurės šalių žalieji kairieji,Eiropas Apvienotā kreiso un Ziemeļvalstu Zaļo kreiso spēku konfederālā grupa,Grupp Konfederali tax-Xellug Magħqud Ewropew - Xellug Aħdar Nordiku,Confederal Group of the European United Left - Nordic Green Left,Den Europæiske Venstrefløjs Fællesgruppe/Nordisk Grønne Venstre,Confederale Fractie Europees Unitair Links/Noords Groen Links,Gruppen Europeiska enade vänstern/Nordisk grön vänster,Konfederalni klub zastupnika Ujedinjene europske ljevice i Nordijske zelene ljevice,Konfederalna skupina Evropske združene levice - Zelene nordijske levice,Konfederacyjna Grupa Zjednoczonej Lewicy Europejskiej / Nordycka Zielona Lewica,Konföderale Fraktion der Vereinigten Europäischen Linken/Nordische Grüne Linke,Grupul Confederal al Stângii Unite Europene/Stânga Verde Nordică,Gruppo confederale della Sinistra unitaria europea/Sinistra verde nordica,Grupo Confederal da Esquerda Unitária Europeia/Esquerda Nórdica Verde,Grupo Confederal de la Izquierda Unitaria Europea/Izquierda Verde Nórdica,Groupe confédéral de la Gauche unitaire européenne/Gauche verte nordique,Grúpa Cónasctha den Chlé Aontaithe Eorpach - den Chlé Ghlas Nordach,Συνομοσπονδιακή Ομάδα της Ευρωπαϊκής Ενωτικής Αριστεράς/Αριστερά των Πρασίνων των Βορείων Χωρών,Конфедеративна група на Европейската обединена левица - Северна зелена левица
http://data.europarl.europa.eu/org/group/GUE/NGL-516,1995-01-05,1995-01-05,2004-07-18,945,GUE/NGL,Confederal Group of the European United Left/Nordic Green Left,az Egységes Európai Baloldal/Északi Zöld Baloldal képviselőcsoportja,Euroopa Ühendatud Vasakpoolsete/ Põhjamaade Roheliste Vasakpoolsete liitfraktsioon,Euroopan yhtyneen vasemmiston konfederaatioryhmä/Pohjoismaiden vihreä vasemmisto,Skupina konfederace Evropské sjednocené levice a Severské zelené levice,Konfederálna skupina Zjednotenej Európskej ľavice - Severská zelená ľavica,Europos vieningųjų kairiųjų jungtinė frakcija/Šiaurės šalių žalieji kairieji,Eiropas Apvienotā kreiso un Ziemeļvalstu Zaļo kreiso spēku konfederālā grupa,Grupp Konfederali tax-Xellug Magħqud Ewropew – Xellug Nordiku tal-Ħodor,Confederal Group of the European United Left/Nordic Green Left,Den Europæiske Venstrefløjs Fællesgruppe/Nordisk Grønne Venstre,Confederale Fractie Europees Unitair Links/Noords Groen Links,Gruppen Europeiska enade vänstern/Nordisk grön vänster,Konfederalni klub zastupnika Ujedinjene europske ljevice i Nordijske zelene ljevice,Konfederalna skupina Evropske združene levice - Zelene nordijske levice,Konfederacyjna Grupa Zjednoczonej Lewicy Europejskiej / Nordycka Zielona Lewica,Konföderale Fraktion der Vereinigten Europäischen Linken/Nordische Grüne Linke,Grupul Confederal al Stângii Unite Europene/Stânga Verde Nordică,Gruppo confederale della Sinistra unitaria europea/Sinistra verde nordica,Grupo Confederal da Esquerda Unitária Europeia/Esquerda Nórdica Verde,Grupo Confederal de la Izquierda Unitaria Europea/Izquierda Verde Nórdica,Groupe confédéral de la Gauche unitaire européenne/Gauche verte nordique,Grúpa Cónasctha den Chlé Aontaithe Eorpach - den Chlé Ghlas Nordach,Συνομοσπονδιακή Ομάδα της Ευρωπαϊκής Ενωτικής Αριστεράς/Αριστερά των Πρασίνων των Βορείων Χωρών,Конфедеративна група на Европейската обединена левица/Северна зелена левица
http://data.europarl.europa.eu/org/group/EFDD-4280,2014-06-30,2014-10-14,2099-12-30,95199,EFDD,Europe of Freedom and Direct Democracy Group,a Szabadság és Demokrácia Európája képviselőcsoport,Vaba ja Otsedemokraatliku Euroopa fraktsiooni,Vapauden ja suoran demokratian Eurooppa,Skupina „Evropa Svobody a Přímé Demokracie“,Skupina Európa slobody a priamej demokracie,Frakcija „Laisvės ir tiesioginės demokratijos Europa“,Grupa „Brīvības un tiešās demokrātijas Eiropa”,Grupp għal Ewropa tal-Libertà u d-Demokrazija Diretta,Europe of Freedom and Direct Democracy Group,Gruppen for Europæisk Frihed og Direkte Demokrati,Fractie Europa van Vrijheid en Directe Democratie,Gruppen Frihet och direktdemokrati i Europa,Klub zastupnika Europe slobode i demokracije,Skupina Evropa svobode in neposredne demokracije,Grupa Europa Wolności i Demokracji Bezpośredniej,Fraktion Europa der Freiheit und der direkten Demokratie,Grupul Europa Libertății și Democrației Directe,Gruppo Europa della Libertà e della Democrazia diretta,Grupo Europa da Liberdade e da Democracia Direta,Grupo Europa de la Libertad y de la Democracia Directa,Groupe Europe de la liberté et de la démocratie directe,An Grúpa d’Eoraip na Saoirse agus an Daonlathais Dhírigh,Ομάδα Ευρώπη Ελευθερίας και Άμεσης Δημοκρατίας,Група „Европа на свободата и пряката демокрация“
