PlenarySession_uri,begin_date,end_date,label
http://data.europarl.europa.eu/eli/dl/iPlMeetingGroup/20190114-20190117,2019-01-14,2019-01-17,Plenary session from 2019-01-14 to 2019-01-17
http://data.europarl.europa.eu/eli/dl/iPlMeetingGroup/20190130-20190131,2019-01-30,2019-01-31,Plenary session from 2019-01-30 to 2019-01-31
http://data.europarl.europa.eu/eli/dl/iPlMeetingGroup/20190211-20190214,2019-02-11,2019-02-14,Plenary session from 2019-02-11 to 2019-02-14
http://data.europarl.europa.eu/eli/dl/iPlMeetingGroup/20190311-20190314,2019-03-11,2019-03-14,Plenary session from 2019-03-11 to 2019-03-14
http://data.europarl.europa.eu/eli/dl/iPlMeetingGroup/20190325-20190328,2019-03-25,2019-03-28,Plenary session from 2019-03-25 to 2019-03-28
http://data.europarl.europa.eu/eli/dl/iPlMeetingGroup/20190403-20190404,2019-04-03,2019-04-04,Plenary session from 2019-04-03 to 2019-04-04
http://data.europarl.europa.eu/eli/dl/iPlMeetingGroup/20190415-20190418,2019-04-15,2019-04-18,Plenary session from 2019-04-15 to 2019-04-18
http://data.europarl.europa.eu/eli/dl/iPlMeetingGroup/20190702-20190704,2019-07-02,2019-07-04,Plenary session from 2019-07-02 to 2019-07-04
http://data.europarl.europa.eu/eli/dl/iPlMeetingGroup/20190715-20190718,2019-07-15,2019-07-18,Plenary session from 2019-07-15 to 2019-07-18
http://data.europarl.europa.eu/eli/dl/iPlMeetingGroup/20190916-20190919,2019-09-16,2019-09-19,Plenary session from 2019-09-16 to 2019-09-19
http://data.europarl.europa.eu/eli/dl/iPlMeetingGroup/20191009-20191010,2019-10-09,2019-10-10,Plenary session from 2019-10-09 to 2019-10-10
http://data.europarl.europa.eu/eli/dl/iPlMeetingGroup/20191021-20191024,2019-10-21,2019-10-24,Plenary session from 2019-10-21 to 2019-10-24
http://data.europarl.europa.eu/eli/dl/iPlMeetingGroup/20191113-20191114,2019-11-13,2019-11-14,Plenary session from 2019-11-13 to 2019-11-14
http://data.europarl.europa.eu/eli/dl/iPlMeetingGroup/20191125-20191128,2019-11-25,2019-11-28,Plenary session from 2019-11-25 to 2019-11-28
http://data.europarl.europa.eu/eli/dl/iPlMeetingGroup/20191211-20191211,2019-12-11,2019-12-11,Plenary session from 2019-12-11 to 2019-12-11
http://data.europarl.europa.eu/eli/dl/iPlMeetingGroup/20191216-20191219,2019-12-16,2019-12-19,Plenary session from 2019-12-16 to 2019-12-19
