Vote,Date,VoteNumber,VoteTitle,ResultFor,ResultAgainst,ResultAbstention
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190114/1,2019-01-14,1,Ordre du jour du lundi - demande du groupe Verts/ALE,143,153,18
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190115/1,2019-01-15,1,A8-0460/2018 -  Jiří Pospíšil - Vote unique,602,47,32
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190115/2,2019-01-15,2,A8-0463/2018 -  Bodil Valero - Approbation,601,68,25
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190115/3,2019-01-15,3,A8-0443/2018 -  Cristian Dan Preda - Approbation,620,48,27
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190115/4,2019-01-15,4,A8-0425/2018 -  Wim van de Camp - Vote unique,585,85,26
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190115/5,2019-01-15,5,A8-0193/2018 -  Cláudia Monteiro de Aguiar - Am 32=33rev=,329,355,8
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190115/6,2019-01-15,6,A8-0193/2018 -  Cláudia Monteiro de Aguiar - Am 28=34=,349,343,6
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190115/7,2019-01-15,7,A8-0193/2018 -  Cláudia Monteiro de Aguiar - Am 29=35=,341,352,3
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190115/8,2019-01-15,8,A8-0193/2018 -  Cláudia Monteiro de Aguiar - Am 30=36=,325,370,3
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190115/9,2019-01-15,9,A8-0193/2018 -  Cláudia Monteiro de Aguiar - Am 31rev2=37rev2=,312,376,9
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190115/10,2019-01-15,10,A8-0193/2018 -  Cláudia Monteiro de Aguiar - Proposition de la Commission,340,316,38
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190115/11,2019-01-15,11,A8-0330/2018 -  Christofer Fjellner - Am 40,544,58,94
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190115/12,2019-01-15,12,A8-0464/2018 -  Maria Grapini - Proposition de la Commission,596,44,57
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190115/13,2019-01-15,13,A8-0476/2018 -  Danuta Maria Hübner - Projet de décision du Conseil,591,43,59
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190115/14,2019-01-15,14,A8-0429/2018 -  Angelika Mlinar - § 6/2,573,84,36
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190115/15,2019-01-15,15,A8-0429/2018 -  Angelika Mlinar - § 24/2,362,303,14
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190115/16,2019-01-15,16,A8-0429/2018 -  Angelika Mlinar - § 33/1,568,83,37
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190115/17,2019-01-15,17,A8-0429/2018 -  Angelika Mlinar - § 33/2,347,289,50
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190115/18,2019-01-15,18,A8-0429/2018 -  Angelika Mlinar - § 34,441,210,37
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190115/19,2019-01-15,19,A8-0429/2018 -  Angelika Mlinar - § 35,329,322,40
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190115/20,2019-01-15,20,A8-0429/2018 -  Angelika Mlinar - § 36,405,224,60
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190115/21,2019-01-15,21,A8-0429/2018 -  Angelika Mlinar - § 39,433,176,68
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190115/22,2019-01-15,22,A8-0429/2018 -  Angelika Mlinar - Considérant S,568,71,48
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190115/23,2019-01-15,23,A8-0429/2018 -  Angelika Mlinar - Résolution,492,126,75
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190115/24,2019-01-15,24,A8-0393/2018 -  Marian-Jean Marinescu - Résolution,526,126,43
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190115/25,2019-01-15,25,A8-0378/2018 -  Brian Hayes - Résolution,549,99,49
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190115/26,2019-01-15,26,A8-0449/2018 -  Andrzej Grzyb - Résolution,576,46,73
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190115/27,2019-01-15,27,A8-0416/2018 -  Marisa Matias et  Ernest Urtasun - Am 2,322,336,36
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190115/28,2019-01-15,28,A8-0416/2018 -  Marisa Matias et  Ernest Urtasun - Am 3,343,311,33
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190115/29,2019-01-15,29,A8-0416/2018 -  Marisa Matias et  Ernest Urtasun - Am 4,337,290,60
