?procedureReference	?person	?firstName	?familyName
APP-2017-0333R	<http://data.europarl.europa.eu/resource/person/28618>	Valdis	Dombrovskis
APP-2017-0333R	<http://data.europarl.europa.eu/resource/person/124773>	Jean	Arthuis
APP-2017-0333R	<http://data.europarl.europa.eu/resource/person/96730>	Sven	Giegold
APP-2017-0333R	<http://data.europarl.europa.eu/resource/person/125024>	Barbara	Kappel
APP-2017-0333R	<http://data.europarl.europa.eu/resource/person/28244>	Wolf	Klinz
APP-2017-0333R	<http://data.europarl.europa.eu/resource/person/124824>	Bernd	Kölmel
APP-2017-0333R	<http://data.europarl.europa.eu/resource/person/190518>	Jörg	Meuthen
APP-2017-0333R	<http://data.europarl.europa.eu/resource/person/124802>	Siegfried	Mureşan
APP-2017-0333R	<http://data.europarl.europa.eu/resource/person/124987>	Liadh	Ní Riada
APP-2017-0333R	<http://data.europarl.europa.eu/resource/person/195454>	Ralph	Packet
APP-2017-0333R	<http://data.europarl.europa.eu/resource/person/28586>	Dimitrios	Papadimoulis
APP-2017-0333R	<http://data.europarl.europa.eu/resource/person/124778>	Marco	Valli
APP-2017-0333R	<http://data.europarl.europa.eu/resource/person/129164>	Tom	Vandenkendelaere
APP-2017-0333R	<http://data.europarl.europa.eu/resource/person/124780>	Marco	Zanni
COD-2018-0248	<http://data.europarl.europa.eu/resource/person/113959>	Martina	Anderson
COD-2018-0248	<http://data.europarl.europa.eu/resource/person/124970>	Miriam	Dalli
COD-2018-0248	<http://data.europarl.europa.eu/resource/person/96734>	Ska	Keller
COD-2018-0248	<http://data.europarl.europa.eu/resource/person/95074>	Jeroen	Lenaers
COD-2018-0248	<http://data.europarl.europa.eu/resource/person/96670>	Louis	Michel
COD-2018-0248	<http://data.europarl.europa.eu/resource/person/125001>	Harald	Vilimsky
COD-2018-0249	<http://data.europarl.europa.eu/resource/person/1892>	Carlos	Coelho
COD-2018-0249	<http://data.europarl.europa.eu/resource/person/96911>	Tanja	Fajon
COD-2018-0249	<http://data.europarl.europa.eu/resource/person/124707>	Petr	Ježek
COD-2018-0249	<http://data.europarl.europa.eu/resource/person/124993>	Bodil	Valero
COD-2018-0249	<http://data.europarl.europa.eu/resource/person/96858>	Marie-Christine	Vergiat
COD-2018-0249	<http://data.europarl.europa.eu/resource/person/124875>	Anders Primdahl	Vistisen
COD-2018-0250	<http://data.europarl.europa.eu/resource/person/96852>	Cornelia	Ernst
COD-2018-0250	<http://data.europarl.europa.eu/resource/person/193273>	Romeo	Franz
COD-2018-0250	<http://data.europarl.europa.eu/resource/person/96780>	Monika	Hohlmeier
COD-2018-0250	<http://data.europarl.europa.eu/resource/person/124801>	Cécile Kashetu	Kyenge
COD-2018-0250	<http://data.europarl.europa.eu/resource/person/96670>	Louis	Michel
COD-2018-0250	<http://data.europarl.europa.eu/resource/person/124995>	Kristina	Winberg
INI-2018-2237	<http://data.europarl.europa.eu/resource/person/96747>	Arnaud	Danjean
INI-2018-2237	<http://data.europarl.europa.eu/resource/person/124790>	Doru-Claudian	Frunzulică
INI-2018-2237	<http://data.europarl.europa.eu/resource/person/124892>	Marek	Jurek
INI-2018-2237	<http://data.europarl.europa.eu/resource/person/96854>	Sabine	Lösing
INI-2018-2237	<http://data.europarl.europa.eu/resource/person/124720>	Tamás	Meszerics
INI-2018-2237	<http://data.europarl.europa.eu/resource/person/130100>	Hilde	Vautmans
