?procedureReference	?eurovocTopic	?eurovocLabel
APP-2017-0333R	<http://eurovoc.europa.eu/c_c565cff5>	"EU banking union"@en
APP-2017-0333R	<http://eurovoc.europa.eu/5844>	"EU financing arrangements"@en
APP-2017-0333R	<http://eurovoc.europa.eu/c_062f6587>	"European Stability Mechanism"@en
APP-2017-0333R	<http://eurovoc.europa.eu/c_777eba81>	"Treaty on Stability, Coordination and Governance"@en
APP-2017-0333R	<http://eurovoc.europa.eu/2629>	"decision-making"@en
APP-2017-0333R	<http://eurovoc.europa.eu/c_6cfce4be>	"economic governance (EU)"@en
APP-2017-0333R	<http://eurovoc.europa.eu/922>	"financial aid"@en
APP-2017-0333R	<http://eurovoc.europa.eu/c_dcf3f7c0>	"financial risk"@en
APP-2017-0333R	<http://eurovoc.europa.eu/c_3e6af2e7>	"financial stability"@en
APP-2017-0333R	<http://eurovoc.europa.eu/1052>	"fund (EU)"@en
APP-2017-0333R	<http://eurovoc.europa.eu/5917>	"multilateral surveillance"@en
APP-2017-0333R	<http://eurovoc.europa.eu/5871>	"revision of the Treaty (EU)"@en
APP-2017-0333R	<http://eurovoc.europa.eu/c_406ad4cc>	"risk management"@en
APP-2019-0031	<http://eurovoc.europa.eu/3774>	"United Kingdom"@en
APP-2019-0031	<http://eurovoc.europa.eu/3258>	"financing of the EU budget"@en
APP-2019-0031	<http://eurovoc.europa.eu/5158>	"general budget (EU)"@en
APP-2019-0031	<http://eurovoc.europa.eu/929>	"implementation of the budget"@en
APP-2019-0031	<http://eurovoc.europa.eu/c_8a6f744c>	"withdrawal from the EU"@en
BUD-2019-2001	<http://eurovoc.europa.eu/1460>	"EU financial instrument"@en
BUD-2019-2001	<http://eurovoc.europa.eu/2451>	"EU policy"@en
BUD-2019-2001	<http://eurovoc.europa.eu/5315>	"EU programme"@en
BUD-2019-2001	<http://eurovoc.europa.eu/c_59f9c651>	"EU strategy"@en
BUD-2019-2001	<http://eurovoc.europa.eu/4038>	"European Commission"@en
BUD-2019-2001	<http://eurovoc.europa.eu/5629>	"citizens' Europe"@en
BUD-2019-2001	<http://eurovoc.europa.eu/434743>	"climate change policy"@en
BUD-2019-2001	<http://eurovoc.europa.eu/5620>	"drawing up of the EU budget"@en
BUD-2019-2001	<http://eurovoc.europa.eu/5158>	"general budget (EU)"@en
BUD-2019-2001	<http://eurovoc.europa.eu/1439>	"innovation"@en
BUD-2019-2001	<http://eurovoc.europa.eu/5237>	"research and development"@en
BUD-2019-2001	<http://eurovoc.europa.eu/5585>	"sustainable development"@en
BUD-2019-2003	<http://eurovoc.europa.eu/2243>	"European Parliament"@en
BUD-2019-2003	<http://eurovoc.europa.eu/5577>	"administrative expenditure (EU)"@en
BUD-2019-2003	<http://eurovoc.europa.eu/5070>	"administrative formalities"@en
BUD-2019-2003	<http://eurovoc.europa.eu/2698>	"budgetary procedure"@en
BUD-2019-2003	<http://eurovoc.europa.eu/5062>	"inclusion in the budget"@en
BUD-2019-2003	<http://eurovoc.europa.eu/1482>	"interpreting"@en
BUD-2019-2003	<http://eurovoc.europa.eu/5640>	"operation of the Institutions"@en
BUD-2019-2003	<http://eurovoc.europa.eu/1163>	"personnel administration"@en
BUD-2019-2003	<http://eurovoc.europa.eu/2815>	"real property"@en
BUD-2019-2003	<http://eurovoc.europa.eu/5888>	"security services"@en
BUD-2019-2003	<http://eurovoc.europa.eu/c_8a6f744c>	"withdrawal from the EU"@en
BUD-2019-2021	<http://eurovoc.europa.eu/5576>	"EU expenditure"@en
BUD-2019-2021	<http://eurovoc.europa.eu/5059>	"amending budget"@en
BUD-2019-2021	<http://eurovoc.europa.eu/3350>	"carry-over of appropriations"@en
BUD-2019-2021	<http://eurovoc.europa.eu/933>	"financial year"@en
BUD-2019-2021	<http://eurovoc.europa.eu/5158>	"general budget (EU)"@en
BUD-2019-2021	<http://eurovoc.europa.eu/3560>	"own resources"@en
CNS-2016-0190	<http://eurovoc.europa.eu/3919>	"child protection"@en
CNS-2016-0190	<http://eurovoc.europa.eu/3919>	"child protection"@en
CNS-2016-0190	<http://eurovoc.europa.eu/5296>	"custody"@en
CNS-2016-0190	<http://eurovoc.europa.eu/5296>	"custody"@en
CNS-2016-0190	<http://eurovoc.europa.eu/3945>	"illegal restraint"@en
CNS-2016-0190	<http://eurovoc.europa.eu/3945>	"illegal restraint"@en
CNS-2016-0190	<http://eurovoc.europa.eu/42>	"jurisdiction"@en
CNS-2016-0190	<http://eurovoc.europa.eu/42>	"jurisdiction"@en
CNS-2016-0190	<http://eurovoc.europa.eu/570>	"matrimonial law"@en
CNS-2016-0190	<http://eurovoc.europa.eu/570>	"matrimonial law"@en
CNS-2016-0190	<http://eurovoc.europa.eu/3312>	"parental authority"@en
CNS-2016-0190	<http://eurovoc.europa.eu/3312>	"parental authority"@en
CNS-2016-0190	<http://eurovoc.europa.eu/3316>	"parental responsibility"@en
CNS-2016-0190	<http://eurovoc.europa.eu/3316>	"parental responsibility"@en
CNS-2016-0190	<http://eurovoc.europa.eu/7352>	"rights of access"@en
CNS-2016-0190	<http://eurovoc.europa.eu/7352>	"rights of access"@en
CNS-2018-0006	<http://eurovoc.europa.eu/4585>	"VAT"@en
CNS-2018-0006	<http://eurovoc.europa.eu/4585>	"VAT"@en
CNS-2018-0006	<http://eurovoc.europa.eu/5070>	"administrative formalities"@en
CNS-2018-0006	<http://eurovoc.europa.eu/5070>	"administrative formalities"@en
CNS-2018-0006	<http://eurovoc.europa.eu/6257>	"simplification of legislation"@en
CNS-2018-0006	<http://eurovoc.europa.eu/6257>	"simplification of legislation"@en
CNS-2018-0006	<http://eurovoc.europa.eu/2358>	"small business"@en
CNS-2018-0006	<http://eurovoc.europa.eu/2358>	"small business"@en
CNS-2018-0006	<http://eurovoc.europa.eu/935>	"tax exemption"@en
CNS-2018-0006	<http://eurovoc.europa.eu/935>	"tax exemption"@en
CNS-2018-0006	<http://eurovoc.europa.eu/1234>	"tax harmonisation"@en
CNS-2018-0006	<http://eurovoc.europa.eu/1234>	"tax harmonisation"@en
CNS-2018-0006	<http://eurovoc.europa.eu/561>	"tax law"@en
CNS-2018-0006	<http://eurovoc.europa.eu/561>	"tax law"@en
CNS-2018-0164	<http://eurovoc.europa.eu/6342>	"European tax cooperation"@en
CNS-2018-0164	<http://eurovoc.europa.eu/4585>	"VAT"@en
CNS-2018-0164	<http://eurovoc.europa.eu/5070>	"administrative formalities"@en
CNS-2018-0164	<http://eurovoc.europa.eu/3193>	"goods and services"@en
CNS-2018-0164	<http://eurovoc.europa.eu/619>	"intra-EU trade"@en
CNS-2018-0164	<http://eurovoc.europa.eu/6029>	"tax collection"@en
CNS-2018-0164	<http://eurovoc.europa.eu/1095>	"tax evasion"@en
CNS-2018-0164	<http://eurovoc.europa.eu/1234>	"tax harmonisation"@en
CNS-2018-0164	<http://eurovoc.europa.eu/6343>	"tax reform"@en
CNS-2018-0176	<http://eurovoc.europa.eu/5018>	"alcoholic beverage"@en
CNS-2018-0176	<http://eurovoc.europa.eu/747>	"electrical energy"@en
CNS-2018-0176	<http://eurovoc.europa.eu/3741>	"energy-generating product"@en
CNS-2018-0176	<http://eurovoc.europa.eu/1015>	"excise duty"@en
CNS-2018-0176	<http://eurovoc.europa.eu/3190>	"export (EU)"@en
CNS-2018-0176	<http://eurovoc.europa.eu/1631>	"free movement of goods"@en
CNS-2018-0176	<http://eurovoc.europa.eu/3191>	"import (EU)"@en
CNS-2018-0176	<http://eurovoc.europa.eu/619>	"intra-EU trade"@en
CNS-2018-0176	<http://eurovoc.europa.eu/3181>	"simplification of formalities"@en
CNS-2018-0176	<http://eurovoc.europa.eu/4350>	"suspension of customs duties"@en
CNS-2018-0176	<http://eurovoc.europa.eu/1234>	"tax harmonisation"@en
CNS-2018-0176	<http://eurovoc.europa.eu/1021>	"tax system"@en
CNS-2018-0176	<http://eurovoc.europa.eu/4373>	"tobacco"@en
CNS-2018-0412	<http://eurovoc.europa.eu/6342>	"European tax cooperation"@en
CNS-2018-0412	<http://eurovoc.europa.eu/4585>	"VAT"@en
CNS-2018-0412	<http://eurovoc.europa.eu/206>	"administrative cooperation"@en
CNS-2018-0412	<http://eurovoc.europa.eu/c_c8363c09>	"cross-border dimension"@en
CNS-2018-0412	<http://eurovoc.europa.eu/6089>	"electronic commerce"@en
CNS-2018-0412	<http://eurovoc.europa.eu/616>	"exchange of information"@en
CNS-2018-0412	<http://eurovoc.europa.eu/c_e749c083>	"payment system"@en
CNS-2018-0412	<http://eurovoc.europa.eu/2602>	"provision of services"@en
CNS-2018-0412	<http://eurovoc.europa.eu/57>	"tax authorities"@en
CNS-2018-0412	<http://eurovoc.europa.eu/3951>	"tax offence"@en
CNS-2018-0413	<http://eurovoc.europa.eu/6342>	"European tax cooperation"@en
CNS-2018-0413	<http://eurovoc.europa.eu/4585>	"VAT"@en
CNS-2018-0413	<http://eurovoc.europa.eu/206>	"administrative cooperation"@en
CNS-2018-0413	<http://eurovoc.europa.eu/c_c8363c09>	"cross-border dimension"@en
CNS-2018-0413	<http://eurovoc.europa.eu/6089>	"electronic commerce"@en
CNS-2018-0413	<http://eurovoc.europa.eu/616>	"exchange of information"@en
CNS-2018-0413	<http://eurovoc.europa.eu/1092>	"fraud"@en
CNS-2018-0413	<http://eurovoc.europa.eu/4359>	"information system"@en
CNS-2018-0413	<http://eurovoc.europa.eu/c_e749c083>	"payment system"@en
CNS-2018-0413	<http://eurovoc.europa.eu/57>	"tax authorities"@en
CNS-2018-0413	<http://eurovoc.europa.eu/3951>	"tax offence"@en
