?Eurovoc	?eurovocLabel	?nbProcedure
<http://eurovoc.europa.eu/5158>	"general budget (EU)"@en	76
<http://eurovoc.europa.eu/933>	"financial year"@en	65
<http://eurovoc.europa.eu/341>	"budgetary discharge"@en	57
<http://eurovoc.europa.eu/189>	"financial control"@en	55
<http://eurovoc.europa.eu/6064>	"audit"@en	55
<http://eurovoc.europa.eu/2901>	"ratification of an agreement"@en	28
<http://eurovoc.europa.eu/616>	"exchange of information"@en	19
<http://eurovoc.europa.eu/c_8a6f744c>	"withdrawal from the EU"@en	19
<http://eurovoc.europa.eu/3774>	"United Kingdom"@en	18
<http://eurovoc.europa.eu/8465>	"appointment of members"@en	15
<http://eurovoc.europa.eu/1474>	"agreement (EU)"@en	14
<http://eurovoc.europa.eu/5315>	"EU programme"@en	13
<http://eurovoc.europa.eu/5404>	"cooperation agreement (EU)"@en	13
<http://eurovoc.europa.eu/584>	"human rights"@en	13
<http://eurovoc.europa.eu/5844>	"EU financing arrangements"@en	13
<http://eurovoc.europa.eu/1163>	"personnel administration"@en	12
<http://eurovoc.europa.eu/2850>	"protocol to an agreement"@en	11
<http://eurovoc.europa.eu/5585>	"sustainable development"@en	11
<http://eurovoc.europa.eu/5769>	"EU office or agency"@en	11
<http://eurovoc.europa.eu/1810>	"public contract"@en	10
