?committee	?committeeName	?nbMainDossier
<http://data.europarl.europa.eu/resource/org/C05-4961>	"Budgetary Control"@en	58
<http://data.europarl.europa.eu/resource/org/C17-4973>	"Civil Liberties, Justice and Home Affairs"@en	24
<http://data.europarl.europa.eu/resource/org/C01-4957>	"Foreign Affairs"@en	19
<http://data.europarl.europa.eu/resource/org/C06-4962>	"Economic and Monetary Affairs"@en	18
<http://data.europarl.europa.eu/resource/org/C16-4972>	"Legal Affairs"@en	18
<http://data.europarl.europa.eu/resource/org/C11-4967>	"Transport and Tourism"@en	15
<http://data.europarl.europa.eu/resource/org/C03-4959>	"International Trade"@en	13
<http://data.europarl.europa.eu/resource/org/C04-4960>	"Budgets"@en	11
<http://data.europarl.europa.eu/resource/org/C14-4970>	"Fisheries"@en	8
<http://data.europarl.europa.eu/resource/org/C08-4964>	"Environment, Public Health and Food Safety"@en	7
<http://data.europarl.europa.eu/resource/org/C18-4974>	"Constitutional Affairs"@en	7
<http://data.europarl.europa.eu/resource/org/C04-5084>	"Budgets"@en	6
<http://data.europarl.europa.eu/resource/org/C09-4965>	"Industry, Research and Energy"@en	6
<http://data.europarl.europa.eu/resource/org/C12-4968>	"Regional Development"@en	6
<http://data.europarl.europa.eu/resource/org/C05-5085>	"Budgetary Control"@en	5
<http://data.europarl.europa.eu/resource/org/C06-5086>	"Economic and Monetary Affairs"@en	5
<http://data.europarl.europa.eu/resource/org/C10-4966>	"Internal Market and Consumer Protection"@en	5
<http://data.europarl.europa.eu/resource/org/C13-4969>	"Agriculture and Rural Development"@en	5
<http://data.europarl.europa.eu/resource/org/C15-4971>	"Culture and Education"@en	5
<http://data.europarl.europa.eu/resource/org/C07-4963>	"Employment and Social Affairs"@en	4
<http://data.europarl.europa.eu/resource/org/C01-5081>	"Foreign Affairs"@en	3
<http://data.europarl.europa.eu/resource/org/C02-4958>	"Development"@en	3
<http://data.europarl.europa.eu/resource/org/C03-5083>	"International Trade"@en	3
<http://data.europarl.europa.eu/resource/org/C01-3946>	"Foreign Affairs"@en	2
<http://data.europarl.europa.eu/resource/org/C07-5087>	"Employment and Social Affairs"@en	2
<http://data.europarl.europa.eu/resource/org/C11-3956>	"Transport and Tourism"@en	2
<http://data.europarl.europa.eu/resource/org/CJ19-5004>	"Joint AFET - DEVE"@en	2
<http://data.europarl.europa.eu/resource/org/BUDE-3637>	"Budgetary Conciliation Committee"@en	1
<http://data.europarl.europa.eu/resource/org/C02-5082>	"Development"@en	1
<http://data.europarl.europa.eu/resource/org/C12-5092>	"Regional Development"@en	1
<http://data.europarl.europa.eu/resource/org/C13-5093>	"Agriculture and Rural Development"@en	1
<http://data.europarl.europa.eu/resource/org/C14-5094>	"Fisheries"@en	1
<http://data.europarl.europa.eu/resource/org/C17-5097>	"Civil Liberties, Justice and Home Affairs"@en	1
<http://data.europarl.europa.eu/resource/org/C20-4976>	"Petitions"@en	1
<http://data.europarl.europa.eu/resource/org/C20-5100>	"Petitions"@en	1
<http://data.europarl.europa.eu/resource/org/CJ03-4986>	"Joint JURI - LIBE"@en	1
<http://data.europarl.europa.eu/resource/org/CJ16-4983>	"Joint BUDG – ECON"@en	1
<http://data.europarl.europa.eu/resource/org/CJ36-5063>	"Joint ECON - ENVI"@en	1
<http://data.europarl.europa.eu/resource/org/CJ37-5064>	"Joint DEVE - ENVI"@en	1
<http://data.europarl.europa.eu/resource/org/CS05-5047>	"Financial crimes, tax evasion and tax avoidance"@en	1
