?activity	?procedureIdentifier
<http://data.europarl.europa.eu/resource/eli/dl/proc/2019/0142/nle/event/reading_I/main-dossier_1/tabling-amendment_1>	NLE-2019-0142
<http://data.europarl.europa.eu/resource/eli/dl/proc/2019/0142M/nle/event/reading_I/main-dossier_1/tabling-amendment_1>	NLE-2019-0142M
<http://data.europarl.europa.eu/resource/eli/dl/proc/2018/0418/nle/event/reading_I/main-dossier_1/committee-vote_1>	NLE-2018-0418
<http://data.europarl.europa.eu/resource/eli/dl/proc/2019/0076/nle/event/reading_I/main-dossier_1/committee-vote_1>	NLE-2019-0076
<http://data.europarl.europa.eu/resource/eli/dl/proc/2019/0811/nle/event/reading_I/main-dossier_1/committee-vote_1>	NLE-2019-0811
<http://data.europarl.europa.eu/resource/eli/dl/proc/2019/0812/nle/event/reading_I/main-dossier_1/committee-vote_1>	NLE-2019-0812
<http://data.europarl.europa.eu/resource/eli/dl/proc/2019/0813/nle/event/reading_I/main-dossier_1/committee-vote_1>	NLE-2019-0813
<http://data.europarl.europa.eu/resource/eli/dl/proc/2019/0814/nle/event/reading_I/main-dossier_1/committee-vote_1>	NLE-2019-0814
<http://data.europarl.europa.eu/resource/eli/dl/proc/2019/0815/nle/event/reading_I/main-dossier_1/committee-vote_1>	NLE-2019-0815
<http://data.europarl.europa.eu/resource/eli/dl/proc/2019/2005/imm/event/reading_I/main-dossier_1/committee-vote_1>	IMM-2019-2005
<http://data.europarl.europa.eu/resource/eli/dl/proc/2019/2134/ini/event/reading_I/main-dossier_1/committee-vote_1>	INI-2019-2134
